"","temp_K","deriv"
"62",304.505,0.081519230769198
"149",305.508,0.000418743768693924
"226",306.506,0.00396793587174352
"289",307.511,0.00353233830845753
"345",308.502,0.00393541876892034
"397",309.5,0.00420841683366737
"447",310.507,0.00536246276067525
"495",311.507,0.006
"542",312.505,0.00581162324649304
"589",313.51,0.00606965174129356
"636",314.51,0.0065
"684",315.52,0.0065346534653466
"732",316.511,0.00746720484359202
"781",317.503,0.0085685483870971
"832",318.504,0.0087912087912085
"885",319.518,0.00996055226824448
"939",320.516,0.0111723446893789
"995",321.511,0.0118492462311557
"1053",322.514,0.0130508474576273
"1112",323.511,0.0139618856569707
"1173",324.515,0.0146414342629487
"1234",325.503,0.0158805668016195
"1297",326.511,0.0166071428571422
"1360",327.514,0.016849451645065
"1423",328.512,0.0177454909819641
"1485",329.504,0.0178528225806448
"1547",330.502,0.0188476953907818
"1609",331.505,0.0185742771684948
"1671",332.515,0.0194356435643566
"1731",333.501,0.0194117647058825
"1792",334.508,0.0202581926514398
"1852",335.507,0.0200500500500496
"1912",336.515,0.0203273809523813
"1971",337.504,0.021223458038422
"2031",338.516,0.0206126482213439
"2090",339.512,0.0206425702811249
"2149",340.509,0.0215045135406216
"2208",341.506,0.0219057171514553
"2267",342.501,0.0209145728643216
"2327",343.51,0.0217938553022791
"2386",344.505,0.0213366834170853
"2446",345.511,0.0213618290258455
"2505",346.502,0.0214026236125118
"2565",347.504,0.0200499001996006
"2625",348.504,0.0209900000000001
"2685",349.508,0.0208266932270924
"2745",350.514,0.0192047713717688
"2804",351.5,0.0194726166328602
"2864",352.503,0.0185443668993023
"2924",353.507,0.0188147410358563
"2984",354.508,0.0178821178821182
"3044",355.509,0.0174725274725269
"3104",356.515,0.0166103379721675
"3164",357.513,0.0160020040080153
"3224",358.513,0.0159899999999999
"3284",359.514,0.0147752247752252
"3344",360.515,0.0145854145854149
"3403",361.501,0.0137931034482761
"3464",362.517,0.0132578740157478
"3523",363.504,0.0126646403242145
"3583",364.505,0.0113686313686317
"3643",365.505,0.01128
"3703",366.512,0.0106256206554121
"3762",367.501,0.00990899898887782
"3822",368.503,0.0100399201596806
"3882",369.507,0.0085557768924301
"3942",370.508,0.00846153846153864
"4002",371.508,0.00807999999999998
"4062",372.507,0.00738738738738727
"4122",373.504,0.0069207622868605
"4182",374.503,0.0062362362362364
"4243",375.515,0.00583992094861657
"4303",376.511,0.00594377510040176
"4363",377.511,0.00502999999999998
"4423",378.509,0.00470941883767505
"4483",379.503,0.00502012072434627
"4543",380.502,0.00381381381381381
"4603",381.501,0.00441441441441459
"4664",382.516,0.00264039408866985
"4724",383.515,0.00258258258258247
"4784",384.514,0.00269269269269271
"4843",385.502,0.00262145748987864
"4904",386.51,0.00243055555555544
"4964",387.505,0.00206030150753779
"5024",388.507,0.00207584830339328
"5084",389.506,0.00248248248248238
"5144",390.502,0.00243975903614464
"5204",391.5,0.00186372745490981
"5265",392.516,0.00201771653543292
"5325",393.514,0.00175350701402821
"5384",394.501,0.00187436676798376
"5445",395.515,0.00190335305719918
"5505",396.514,0.0017317317317317
"5565",397.513,0.00123123123123127
"5625",398.509,0.00162650602409637
"5685",399.508,0.0017317317317318
"5745",400.511,0.00202392821535394
"5805",401.513,0.00201596806387203
"5865",402.511,0.00161322645290603
"5925",403.51401,0.00171483833660673
"5984",404.50101,0.00173252279635264
"6045",405.51801,0.00176991150442481
"6104",406.502,0.0020427036860129
"6164",407.502,0.00240000000000018
"6225",408.513,0.00195845697329359
"6285",409.515,0.00220558882235544
"6345",410.517,0.0020958083832335
"6404",411.50101,0.00242883710531383
"6464",412.502,0.00248753733803544
"6524",413.506,0.00337649402390451
"6584",414.506,0.00388000000000011
"6644",415.508,0.00258483033932106
"6704",416.509,0.00256743256743259
"6764",417.509,0.00278
"6824",418.50999,0.00447556918650539
